GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz
GBS-05278,POSITIV,0.0,1980,1,1.0,1.0,1.0,1.0,1.0,0.0,1,3.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,4.0,1.0
GBS-05283,NEGATIV,0.0,1980,0,1.0,1.0,3.0,2.0,1.0,0.0,1,3.0,3.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,4.0,5.0,2.0,1.0,4.0,4.0,3.0,3.0
GBS-05332,,0.0,1977,1,1.0,2.0,3.0,5.0,1.0,0.0,4,2.0,4.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,4.0
GBS-05426,NEGATIV,1.0,1978,1,1.0,1.0,3.0,2.0,1.0,0.0,2,2.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0
GBS-05658,,0.0,1982,1,1.0,1.0,3.0,4.0,1.0,2.0,2,3.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,5.0,5.0,5.0,1.0,5.0,1.0,2.0,5.0,4.0
GBS-05717,,0.0,1982,0,0.0,2.0,3.0,2.0,1.0,4.0,2,2.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,5.0,2.0,1.0
GBS-05758,,1.0,1971,1,1.0,1.0,3.0,5.0,1.0,0.0,3,2.0,4.0,4.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,5.0,5.0,4.0,5.0,2.0,5.0,2.0,4.0,2.0,4.0
GBS-05832,NEGATIV,1.0,1989,1,1.0,2.0,2.0,1.0,1.0,0.0,3,0.0,3.0,3.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,4.0,4.0,4.0,1.0,3.0,3.0,1.0
GBS-06055,NEGATIV,0.0,1971,1,1.0,2.0,2.0,3.0,1.0,0.0,2,1.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0
GBS-06611,,0.0,1994,1,1.0,2.0,3.0,1.0,1.0,0.0,1,0.0,1.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0
GBS-06637,,0.0,1993,1,1.0,2.0,3.0,8.0,1.0,0.0,1,2.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,1.0,3.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0
GBS-06737,,0.0,1968,1,1.0,1.0,1.0,1.0,1.0,0.0,4,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,1.0,2.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0
GBS-06786,POSITIV,0.0,1977,1,1.0,1.0,2.0,6.0,1.0,0.0,1,2.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0
GBS-06972,POSITIV,1.0,1989,1,1.0,2.0,3.0,5.0,2.0,0.0,1,0.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,1.0
GBS-06978,,0.0,1992,1,1.0,2.0,3.0,5.0,1.0,0.0,1,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0
GBS-07018,,0.0,1985,1,1.0,2.0,3.0,5.0,1.0,0.0,1,3.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0
GBS-07026,,0.0,1991,1,1.0,2.0,3.0,4.0,1.0,2.0,2,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,5.0,4.0,5.0,2.0,1.0
GBS-07100,,1.0,1972,1,1.0,1.0,2.0,1.0,1.0,0.0,1,0.0,3.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,5.0,3.0,2.0
GBS-07206,,0.0,1986,1,1.0,1.0,3.0,2.0,1.0,4.0,3,4.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0
