Aktiv,Alles anstrengend,Alter,Andere kritisieren,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,Berufliche Ausbildung,Berufsgruppe,Desinteresse Politiker,Druck,Entspannt,Erwerbstaetigkeit,Familienstand,Faulheit,Geburtsland,Geschlecht,Gesellig,Gruendlich,Hoechster Bildungsabschluss,IE_ext1,IE_ext2,IE_int1,IE_int2,Id,Leben genießen,Nationalitaet,Nervoes,Nervös,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Optimismus,Optimismus Zukunft,Personen im Haushalt,Pessimismus,Phantasievoll,Resilienz,Schlechter Schlaf,Schulabschluss,Verärgert,Wach,Wahlabsicht,Wahlteilnahme,Zufriedenheit Leben,Zufriedenheit Wahlergebnis,Zurueckhaltend,label,leicht Vertrauen,wenig kuenstlerisches Interesse,woechentlicheArbeitszeit,Ängstlich
3.0,2.0,22.0,4.0,5.0,1.0,5.0,1.0,5.0,2.0,8.0,3.0,3.5,3.0,5.0,2.0,2.0,4.0,1.0,1.0,2.0,5.0,3.0,2.0,1.0,5.0,5.0,GBS-29696,3.0,1.0,2.0,4.0,0.0,0.0,6.0,5.0,eine Person,2.0,5.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,4.0,4.0,1,4.0,2.0,1.0,4.0
3.0,2.0,60.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,3.5,3.0,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,GBS-31103,3.0,1.0,3.0,4.0,4.0,1.0,4.0,3.0,"mehrere Personen, und zwar:",4.0,4.0,3.0,4.0,5.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,1,4.0,4.0,3.0,4.0
3.0,2.0,31.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.5,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,GBS-31508,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,"mehrere Personen, und zwar:",5.0,4.0,4.0,4.0,3.0,3.0,4.0,1.0,1.0,3.0,2.0,3.0,1,4.0,4.0,3.0,4.0
3.0,2.0,24.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,8.0,8.0,3.5,3.0,2.0,2.0,2.0,4.0,1.0,2.0,2.0,5.0,3.0,2.0,3.0,3.0,3.0,GBS-32072,3.0,1.0,4.0,4.0,0.0,0.0,3.0,4.0,eine Person,6.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,2.0,1,2.0,5.0,1.0,4.0
3.0,2.0,27.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,3.5,3.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,5.0,3.0,2.0,2.0,5.0,4.0,GBS-32422,3.0,1.0,4.0,3.0,0.0,0.0,6.0,5.0,eine Person,2.0,4.0,3.0,3.0,5.0,4.0,3.0,1.0,1.0,3.0,3.0,1.0,1,5.0,4.0,1.0,3.0
3.0,2.0,22.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.5,4.0,3.0,1.0,1.0,5.0,1.0,2.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,GBS-32537,3.0,1.0,5.0,3.0,3.0,1.0,4.0,3.0,,4.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,3.0,1.0,4.0,1,3.0,4.0,5.0,4.0
3.0,2.0,29.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,GBS-32579,3.0,1.0,2.0,4.0,3.0,2.0,5.0,4.0,"mehrere Personen, und zwar:",4.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,2.0,1,3.0,4.0,3.0,4.0
3.0,2.0,23.0,3.0,4.0,1.0,4.0,2.0,5.0,1.0,8.0,8.0,4.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,GBS-33177,3.0,1.0,2.0,3.0,0.0,0.0,5.0,5.0,eine Person,3.0,4.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,3.0,2.0,1,4.0,2.0,1.0,4.0
2.0,2.0,36.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.5,2.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,5.0,5.0,GBS-33930,2.0,0.0,2.0,3.0,3.0,1.0,6.0,5.0,"mehrere Personen, und zwar:",2.0,4.0,2.0,4.0,3.0,3.0,4.0,0.0,1.0,3.0,3.0,4.0,1,4.0,1.0,2.0,4.0
3.0,2.0,30.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.5,2.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,GBS-34518,3.0,1.0,4.0,3.0,3.0,1.0,2.0,3.0,,5.0,4.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,4.0,1,3.0,1.0,5.0,3.0
3.0,2.0,25.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,5.0,3.0,3.5,3.0,3.0,2.0,1.0,3.0,1.0,2.0,5.0,5.0,3.0,2.0,1.0,4.0,5.0,GBS-34669,3.0,1.0,2.0,4.0,0.0,0.0,4.0,3.0,"mehrere Personen, und zwar:",2.0,3.0,1.0,4.0,5.0,4.0,4.0,1.0,1.0,3.0,4.0,1.0,1,4.0,5.0,1.0,4.0
